###################################
#####      Build Network      #####
###################################
---------------- Network initialized ----------------
[Network netG] Total number of parameters: 11.388 M
[Network netD] Total number of parameters: 2.765 M
-----------------------------------------------------

###################################
#####      Start Traning      #####
###################################
===========REUSING EARLIER RESULT============
Epoch: 17/20  |  Step: 8700/12886  |  lr: 0.000200  |  G_loss: 2.581447  |  D_loss: 0.199466  |  Idt_loss: 1.983802  |  Time: 0.661
Epoch: 17/20  |  Step: 8800/12886  |  lr: 0.000200  |  G_loss: 2.567003  |  D_loss: 0.209620  |  Idt_loss: 2.076191  |  Time: 0.664
Epoch: 17/20  |  Step: 8900/12886  |  lr: 0.000200  |  G_loss: 2.870186  |  D_loss: 0.166588  |  Idt_loss: 2.154338  |  Time: 0.781
Epoch: 17/20  |  Step: 9000/12886  |  lr: 0.000200  |  G_loss: 2.948715  |  D_loss: 0.261846  |  Idt_loss: 1.948010  |  Time: 0.795
Epoch: 17/20  |  Step: 9100/12886  |  lr: 0.000200  |  G_loss: 2.760670  |  D_loss: 0.210154  |  Idt_loss: 2.231672  |  Time: 0.734
Epoch: 17/20  |  Step: 9200/12886  |  lr: 0.000200  |  G_loss: 2.888340  |  D_loss: 0.148488  |  Idt_loss: 2.119828  |  Time: 0.707
Epoch: 17/20  |  Step: 9300/12886  |  lr: 0.000200  |  G_loss: 2.811430  |  D_loss: 0.149698  |  Idt_loss: 2.120723  |  Time: 0.805
Epoch: 17/20  |  Step: 9400/12886  |  lr: 0.000200  |  G_loss: 3.047808  |  D_loss: 0.162773  |  Idt_loss: 2.207321  |  Time: 0.808
Epoch: 17/20  |  Step: 9500/12886  |  lr: 0.000200  |  G_loss: 2.958419  |  D_loss: 0.156336  |  Idt_loss: 2.031856  |  Time: 0.809
Epoch: 17/20  |  Step: 9600/12886  |  lr: 0.000200  |  G_loss: 3.015460  |  D_loss: 0.145299  |  Idt_loss: 2.158539  |  Time: 0.808
Epoch: 17/20  |  Step: 9700/12886  |  lr: 0.000200  |  G_loss: 2.569343  |  D_loss: 0.158500  |  Idt_loss: 1.945067  |  Time: 0.619
Epoch: 17/20  |  Step: 9800/12886  |  lr: 0.000200  |  G_loss: 2.578294  |  D_loss: 0.134065  |  Idt_loss: 1.857719  |  Time: 0.805
Epoch: 17/20  |  Step: 9900/12886  |  lr: 0.000200  |  G_loss: 2.918457  |  D_loss: 0.298306  |  Idt_loss: 2.035040  |  Time: 0.618
Epoch: 17/20  |  Step: 10000/12886  |  lr: 0.000200  |  G_loss: 2.666252  |  D_loss: 0.170770  |  Idt_loss: 2.059492  |  Time: 0.801
Epoch: 17/20  |  Step: 10100/12886  |  lr: 0.000200  |  G_loss: 2.863272  |  D_loss: 0.146712  |  Idt_loss: 2.111146  |  Time: 0.623
Epoch: 17/20  |  Step: 10200/12886  |  lr: 0.000200  |  G_loss: 2.864084  |  D_loss: 0.135664  |  Idt_loss: 2.039773  |  Time: 0.806
Epoch: 17/20  |  Step: 10300/12886  |  lr: 0.000200  |  G_loss: 2.756559  |  D_loss: 0.146087  |  Idt_loss: 1.923113  |  Time: 0.754
Epoch: 17/20  |  Step: 10400/12886  |  lr: 0.000200  |  G_loss: 2.938679  |  D_loss: 0.205157  |  Idt_loss: 1.914475  |  Time: 0.542
Epoch: 17/20  |  Step: 10500/12886  |  lr: 0.000200  |  G_loss: 10.307577  |  D_loss: 118.159409  |  Idt_loss: 4.203140  |  Time: 0.760
Epoch: 17/20  |  Step: 10600/12886  |  lr: 0.000200  |  G_loss: 3.389252  |  D_loss: 0.546053  |  Idt_loss: 3.065015  |  Time: 0.796
Epoch: 17/20  |  Step: 10700/12886  |  lr: 0.000200  |  G_loss: 2.928716  |  D_loss: 0.547374  |  Idt_loss: 2.667506  |  Time: 0.764
Epoch: 17/20  |  Step: 10800/12886  |  lr: 0.000200  |  G_loss: 2.659700  |  D_loss: 0.525692  |  Idt_loss: 2.368465  |  Time: 0.733
